error:ملتن: candidates: ملک ملا ملکی مل ممکن موت ملی ملنے ملزم ملے status: not found 
error:ہلک: candidates: علی ایک ہو کہ ہے تک ہلاک فلم ہوا ہی status: found ہلاک 
error:بجکہ: candidates: بلکہ بجلی ہےکہ کہ بجٹ بک وجہ بچہ جبکہ جگہ status: found جبکہ 
error:اسحلہ: candidates: سولہ ساحلی اسلحہ سالہ اسلحے اسلم اللہ اسحاق ساحل اسامہ status: found اسلحہ 
error:متام: candidates: ماہ کام ختم تاہم شام حکام ملزم عوام تمام نام status: found تمام 
error:ملتن: candidates: ملک ملا ملکی مل ممکن موت ملی ملنے ملزم ملے status: not found 
error:اتلاع: candidates: اتحاد اجلاس اعلان اطلاق اطلاع تلاش الاٹ اسلام اضلاع امتناع status: found اطلاع 
error:تحصل: candidates: تحت فیصل حل تیل حاصل اصل حصے حصہ حال فصل status: not found 
error:جھاپا: candidates: جھڑپ چھپا جھگڑا پاپا جانا کھانا جاتا چھاپے جھوٹا سراپا status: not found 
error:جوبی: candidates: ہوگی جب جی قومی جو جون بی جنوبی فوجی جاری status: not found 
error:بجکہ: candidates: بلکہ بجلی ہےکہ کہ بجٹ بک وجہ بچہ جبکہ جگہ status: found جبکہ 
error:قضے: candidates: نے رہے لیے گے دے قبل سے ہے کے قتل status: not found 
error:پاکسان: candidates: پادکان ساکنان اکمان پاسا پاکستان انسان کسان احسان پاکستا پاکستانی status: found پاکستان 
error:شنانہ: candidates: شناخت پناہ نشان نشانہ خانہ بنانے بنانا شاہ روانہ خزانہ status: found نشانہ 
error:جھاپے: candidates: بجھانے جیالے جھڑپ چھپے کھانے جاتے چھاپے جانے تھانے ڈھانے status: found چھاپے 
error:ماارے: candidates: ماری ہمارے ادارے مارا خسارے ماہر طیارے مارچ مارے بارے status: found مارے 
error:اچلاس: candidates: اجلاس اعلان اطلاق احساس اطلاع لاس اسلام ایلوس اضلاع چلا status: found اجلاس 
error:کطاب: candidates: کام کا کیا مطابق اب طالب کہا خطاب خراب کار status: found خطاب 
error:کطاب: candidates: کام کا کیا مطابق اب طالب کہا خطاب خراب کار status: found خطاب 
error:کطاب: candidates: کام کا کیا مطابق اب طالب کہا خطاب خراب کار status: found خطاب 
error:کطاب: candidates: کام کا کیا مطابق اب طالب کہا خطاب خراب کار status: found خطاب 
error:کطاب: candidates: کام کا کیا مطابق اب طالب کہا خطاب خراب کار status: found خطاب 
error:اچی: candidates: اس ایک ان دی جاری کراچی رہی کی ہی اور status: not found 
error:فورغ: candidates: کورٹ بورڈ دور فورسز صورت فون طور دورہ فوج اور status: not found 
error:اادہ: candidates: ماہ زندہ زیادہ اضافہ سالہ ادا والدہ اللہ شاہ یاد status: not found 
error:بتہری: candidates: شہری بہترین بہتر بہتری بری تیری باہر تہرے باری بہر status: found بہتری 
error:قللت: candidates: قیمت غفلت قسمت قبل گلگت حالت علالت اللہ قلب قتل status: not found 
error:رنما: candidates: ننجا رہا رہنما نیا بنا کرنا رضا دنیا نمو نام status: found رہنما 
error:منبی: candidates: ملکی نیب مالی میسی ملی جنوبی ضمنی بی نمبر نجی status: not found 
error:کطاب: candidates: کام کا کیا مطابق اب طالب کہا خطاب خراب کار status: found خطاب 
error:متشرکہ: candidates: مشترکہ مشربہ متبرک مبشرہ مشترک متعرفہ مدرکہ متشکی متفکرہ ترکہ status: found مشترکہ 
error:مں: candidates: نے پر کا سے ہے کو کہ میں کی کے status: found میں 
error:مں: candidates: نے پر کا سے ہے کو کہ میں کی کے status: found میں 
error:اپوزشن: candidates: پوزیشن پوشن پوزن پوزش اپوزیشن اوزگن اوزان اپورن اپون پورشن status: found اپوزیشن 
error:ردمیان: candidates: فدیان فدویان ریان دیمان ردیات درمیان درمیانی درمیانہ میان رمضان status: found درمیان 
error:اصافہ: candidates: اضافے اضافہ صاف ادارہ انصاف ارادہ مصافحہ اشارہ اضافی اسامہ status: found اضافہ 
error:فتس: candidates: ختم جس اس فون تو تک فلم ایس فوج قتل status: not found 
error:اصافہ: candidates: اضافے اضافہ صاف ادارہ انصاف ارادہ مصافحہ اشارہ اضافی اسامہ status: found اضافہ 
error:جسٹص: candidates: جس جسٹس مجسٹک رسٹس جسیا سٹی جسم لسٹ جسے سسٹم status: found جسٹس 
error:اصافہ: candidates: اضافے اضافہ صاف ادارہ انصاف ارادہ مصافحہ اشارہ اضافی اسامہ status: found اضافہ 
error:چیلج: candidates: چل چیف تیل چیت کیلی چین کالج جیل ایل چلا status: not found 
error:مں: candidates: نے پر کا سے ہے کو کہ میں کی کے status: found میں 
error:اصافہ: candidates: اضافے اضافہ صاف ادارہ انصاف ارادہ مصافحہ اشارہ اضافی اسامہ status: found اضافہ 
error:تلب: candidates: ملک تین ارب علی قبل اب تو تک فلم قتل status: not found 
error:مں: candidates: نے پر کا سے ہے کو کہ میں کی کے status: found میں 
error:مں: candidates: نے پر کا سے ہے کو کہ میں کی کے status: found میں 
error:اصافہ: candidates: اضافے اضافہ صاف ادارہ انصاف ارادہ مصافحہ اشارہ اضافی اسامہ status: found اضافہ 
